date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:41:13	360489/360489	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Feb%202025%2010:41:13%20GMT	https://www.terra.com.br/	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/www.terra.com.br/index.html	(from )
07:41:14	83/83	---M-Z	200	added ('OK')	text/plain	date:Mon,%2020%20Apr%202020%2018:58:17%20GMT	https://www.terra.com.br/robots.txt		(from )
07:41:14	99885/99885	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2019:20:06%20GMT	https://s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-16x9-borda.png	(from https://www.terra.com.br/)
07:41:14	4286/4286	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2024%20Jan%202023%2018:51:52%20GMT	https://www.terra.com.br/globalSTATIC/fe/zaz-mod-t360-icons/svg/logos/terra-favicon-ventana.ico	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/www.terra.com.br/globalSTATIC/fe/zaz-mod-t360-icons/svg/logos/terra-favicon-ventana.ico	(from https://www.terra.com.br/)
07:41:14	2660/2660	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Nov%202023%2018:05:48%20GMT	https://www.terra.com.br/manifest-br.json	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/www.terra.com.br/manifest-br.json	(from https://www.terra.com.br/)
07:41:15	2415/2415	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2018:51:52%20GMT	https://s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-ventana-ios.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/fe/zaz-mod-t360-icons/svg/logos/terra-ventana-ios.png	(from https://www.terra.com.br/)
07:41:15	514234/514234	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2018:50:06%20GMT	https://s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios2048x2732.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios2048x2732.png	(from https://www.terra.com.br/)
07:41:15	361768/361768	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2018:50:06%20GMT	https://s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1536x2048.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1536x2048.png	(from https://www.terra.com.br/)
07:41:15	393188/393188	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2018:50:06%20GMT	https://s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1668x2224.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1668x2224.png	(from https://www.terra.com.br/)
07:41:15	239932/239932	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2018:50:06%20GMT	https://s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1125x2436.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1125x2436.png	(from https://www.terra.com.br/)
07:41:16	312747/312747	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2018:50:06%20GMT	https://s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1242x2208.png	C:/Users/LAB4/Downloads/DDMII/Siteoff/site_terra/s1.trrsf.com/update-1698692222/fe/zaz-mod-t360-icons/svg/logos/terra-ios1242x2208.png	(from https://www.terra.com.br/)
